CountryCode,ShortName,CurrencyUnit,SpecialNotes,Region,IncomeGroup,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
MNE,Montenegro,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2013",Yes,2010,0,2013,2010
MAR,Morocco,Moroccan dirham,,Middle East & North Africa,Lower middle income,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006",,2012,2010,2012,2000
MOZ,Mozambique,New Mozambican metical,Based on official government statistics; the new base year is 2009.,Sub-Saharan Africa,Low income,2009,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011",,"2009, 2010",0,2013,2001
MMR,Myanmar,Myanmar kyat,Fiscal year end: March 31; reporting period for national accounts data: FY.,East Asia & Pacific,Lower middle income,05-Jun,,Value added at producer prices (VAP),IDA,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2009/10",,2010,0,2010,2000
NAM,Namibia,Namibian dollar,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.",Sub-Saharan Africa,Upper middle income,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2013",,2014,0,2013,2002
NPL,Nepal,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Low income,Jan-00,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2014",,"2011, 2012",2008,2013,2006
NLD,Netherlands,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,2008
NCL,New Caledonia,CFP franc,,East Asia & Pacific,High income: nonOECD,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,Special trade system,,,2009,,Yes,,0,2012,
NZL,New Zealand,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,,2013,,Yes,2012,2010,2013,2002
NIC,Nicaragua,Nicaraguan gold cordoba,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",Latin America & Caribbean,Lower middle income,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Reproductive Health Survey (RHS), 2006/2007",,2011,0,2013,2011
NER,Niger,West African CFA franc,"Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",Sub-Saharan Africa,Low income,2006,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012",,"2004, 2005, 2006, 2007, 2008",2002,2013,2005
NGA,Nigeria,Nigerian naira,"Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology. Nigeria reports using SNA 2008.",Sub-Saharan Africa,Lower middle income,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology.,1971,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2013",,2013,0,2013,2005
NAC,North America,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,,,,,,,,,,,,,,,,,,0,,
MNP,Northern Mariana Islands,U.S. dollar,,East Asia & Pacific,High income: nonOECD,,,,,,Country uses the 1968 System of National Accounts methodology.,,2011 (household consumption only).,,,,,,2010,,,2007,0,,
NOR,Norway,Norwegian krone,,Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,2006
OED,OECD members,,"OECD members aggregate (all, including developing countries).",,,,,,,,,,,,,,,,,,,,0,,
OMN,Oman,Rial Omani,Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2014",,"2012, 2013",2010,2013,2003
OSS,Other small states,,"Other small states aggregate. Includes Bhutan, Botswana, Cabo Verde, Comoros, Djibouti, Equatorial Guinea, Gabon, The Gambia, Guinea-Bissau, Lesotho, Maldives, Mauritius, Montenegro, Namibia, Sao Tome and Principe, Seychelles, Swaziland, and Timor-Leste.",,,,,,,,,,,,,,,,,,,,0,,
PSS,Pacific island small states,,"Pacific island small states aggregate. Includes Fiji, Kiribati, Marshall Islands, Federated States of Micronesia, Palau, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu.",,,,,,,,,,,,,,,,,,,,0,,
PAK,Pakistan,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,05-Jun,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2012/13",,2010,2006,2013,2008
PLW,Palau,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.,East Asia & Pacific,Upper middle income,04-May,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,Special trade system,,General Data Dissemination System (GDDS),2010,,Yes,,0,2012,
PAN,Panama,Panamanian balboa,The new base year is 2007.,Latin America & Caribbean,Upper middle income,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2013",,2011,2001,2013,2010
PNG,Papua New Guinea,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,1998,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1989,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 1996",,,2001,2012,2005
PRY,Paraguay,Paraguayan guarani,"National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.",Latin America & Caribbean,Upper middle income,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Reproductive Health Survey (RHS), 2008",,2008,2002,2013,2012
PER,Peru,Peruvian new sol,The new base year is 2007.,Latin America & Caribbean,Upper middle income,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1985,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Continuous Demographic and Health Survey (DHS), 2013",,2012,2011,2013,2008
PHL,Philippines,Philippine peso,"Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",East Asia & Pacific,Lower middle income,2000,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2013",Yes,2012,2008,2013,2009
POL,Poland,Polish zloty,,Europe & Central Asia,High income: OECD,,2005,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2011,2013,2009
PRT,Portugal,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2009,2010,2013,2002
PRI,Puerto Rico,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",Latin America & Caribbean,High income: nonOECD,1953,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology.,,,,,General trade system,,,2010,"Reproductive Health Survey (RHS), 1995/96",Yes,2007,2006,,2005
QAT,Qatar,Qatari riyal,,Middle East & North Africa,High income: nonOECD,2013,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,2011,,,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",Yes,,2010,2013,2005
ROM,Romania,New Romanian leu,,Europe & Central Asia,Upper middle income,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,"1987, 1992",,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 2004",Yes,2010,2011,2013,2009
RUS,Russia,Russian ruble,,Europe & Central Asia,High income: nonOECD,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1987,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003",Yes,2014,2011,2013,2001
RWA,Rwanda,Rwandan franc,"Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011. Rwanda reports using SNA 2008.",Sub-Saharan Africa,Low income,2011,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,1994,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Malaria Indicator Survey (MIS), 2013",,2008,0,2013,2000
WSM,Samoa,Samoan tala,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the countrys Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",East Asia & Pacific,Lower middle income,08-Sep,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2009",,2009,0,2013,
SMR,San Marino,Euro,,Europe & Central Asia,High income: nonOECD,1995,2000,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,,,,,Consolidated central government,General Data Dissemination System (GDDS),2010,,Yes,,0,,
SAU,Saudi Arabia,Saudi Arabian riyal,The new base year is 2010.,Middle East & North Africa,High income: nonOECD,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,,General Data Dissemination System (GDDS),2010,"Demographic survey, 2007",,2010,2006,2013,2006
SEN,Senegal,West African CFA franc,,Sub-Saharan Africa,Lower middle income,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014",,2013,2010,2012,2002
SRB,Serbia,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.",Europe & Central Asia,Upper middle income,,2010,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2014",Yes,2012,2011,,2009
SYC,Seychelles,Seychelles rupee,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",Sub-Saharan Africa,High income: nonOECD,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,,Yes,2011,0,2008,2005
SLE,Sierra Leone,Sierra Leonean leone,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.",Sub-Saharan Africa,Low income,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013",,,2008,2002,2005
SGP,Singapore,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.,East Asia & Pacific,High income: nonOECD,2010,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Health Survey (NHS), 2010",Yes,,2011,2013,1975
SXM,Sint Maarten (Dutch part),Netherlands Antillean guilder,,Latin America & Caribbean,High income: nonOECD,,,,,,Country uses the 1993 System of National Accounts methodology.,,2011,,,,,,2011,,Yes,,0,,
SVK,Slovak Republic,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003",Yes,2010,2010,2013,2007
SVN,Slovenia,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003",Yes,2010,2011,2013,2009
SST,Small states,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,,,,,,,,,,,,,,,,,,0,,
SLB,Solomon Islands,Solomon Islands dollar,National accounts data have been revised from 2007 to 2013 based on IMF reports.,East Asia & Pacific,Lower middle income,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,,General Data Dissemination System (GDDS),2009,,,2012,0,2013,
SOM,Somalia,Somali shilling,,Sub-Saharan Africa,Low income,1985,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1977,,,Estimate,,,,1987,"Multiple Indicator Cluster Survey (MICS), 2006",,,0,,2003
ZAF,South Africa,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.,Sub-Saharan Africa,Upper middle income,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003",,2007,2010,2013,2000
SAS,South Asia,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,,,,,,,,,,,,,,,,,,0,,
SSD,South Sudan,South Sudanese Pound,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.",Sub-Saharan Africa,Low income,2009,,,IDA,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,2008,"Multiple Indicator Cluster Survey (MICS), 2010",,,0,2012,2011
ESP,Spain,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,2008
LKA,Sri Lanka,Sri Lankan rupee,,South Asia,Lower middle income,2002,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07",Yes,"2013, 2014",2010,2013,2005
KNA,St. Kitts and Nevis,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,High income: nonOECD,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,Yes,,0,2011,
LCA,St. Lucia,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",Yes,2007,0,2008,2005
MAF,St. Martin (French part),Euro,,Latin America & Caribbean,High income: nonOECD,,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,,,,,0,,
VCT,St. Vincent and the Grenadines,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,Yes,,0,2012,1995
SSF,Sub-Saharan Africa (all income levels),,Sub-Saharan Africa regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
SSA,Sub-Saharan Africa (developing only),,Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
SDN,Sudan,Sudanese pound,"Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan.",Sub-Saharan Africa,Lower middle income,1981,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2014",,"2013, 2014",2001,2011,2011
SUR,Suriname,Suriname dollar,,Latin America & Caribbean,Upper middle income,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2010",Yes,2008,2004,2011,2006
SWZ,Swaziland,Swaziland lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,2011,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2014",,2007,0,2007,2000
SWE,Sweden,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,2007
CHE,Switzerland,Swiss franc,,Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,Yes,2008,2010,2013,2000
SYR,Syrian Arab Republic,Syrian pound,"April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.",Middle East & North Africa,Lower middle income,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,"1970, 2010",2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006",,2014,2005,2010,2005
TJK,Tajikistan,Tajik somoni,,Europe & Central Asia,Lower middle income,,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,1990,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2012",,2013,0,2000,2006
TZA,Tanzania,Tanzanian shilling,The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.,Sub-Saharan Africa,Low income,2007,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014/15",,11-Jul,2010,2013,2002
THA,Thailand,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,2002,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012",,2013,2006,2013,2007
BHS,The Bahamas,Bahamian dollar,,Latin America & Caribbean,High income: nonOECD,2006,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,,,,0,2013,
GMB,The Gambia,Gambian dalasi,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.",Sub-Saharan Africa,Low income,2004,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2013",,,2004,2013,2000
TMP,Timor-Leste,U.S. dollar,"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",East Asia & Pacific,Lower middle income,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology.,,,,,Special trade system,,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2009/10",,2010,0,2013,2004
